"YEAR","state","Type_of_Producer","Total","Coal","HydroElectric","Gas","Petroleum","Wind","wood","Nuclear","biomass","Other Gases","Pumped Storage","Geothermal","Other","Solar","GeoFips","GeoName","GdpinMioUSD","SunHours","sunUnit","AvgWindSpeed","UnitWind","Population","EducationIndex","dem_percent","rep_percent"
1990,"AK","Total Electric Power Industry",5599506,510573,974521,3466261,497116,0,151035,0,0,0,0,0,0,0,"02000","Alaska",49820,"3.99","hours","16.35","mph"," 728,300","13.81",42.8,52.8
1990,"AK","Electric Generators, Electric Utilities",4493024,311960,974521,2869638,336905,0,0,0,0,0,0,0,0,0,"02000","Alaska",49820,"3.99","hours","16.35","mph"," 728,300","13.81",42.8,52.8
1990,"AK","Combined Heat and Power, Industrial Power",840949,0,0,596623,93291,0,151035,0,0,0,0,0,0,0,"02000","Alaska",49820,"3.99","hours","16.35","mph"," 728,300","13.81",42.8,52.8
1990,"AK","Combined Heat and Power, Commercial Power",265533,198613,0,0,66920,0,0,0,0,0,0,0,0,0,"02000","Alaska",49820,"3.99","hours","16.35","mph"," 728,300","13.81",42.8,52.8
1990,"AL","Total Electric Power Industry",79652133,53658115,10366507,1020714,138089,0,2099847,12051882,47503,269476,0,0,0,0,"01000","Alabama",226896.5,"4.23","hours","14.70","mph"," 4,817,678","13.12",36.6,62
1990,"AL","Electric Generators, Independent Power Producers",27936,0,0,0,0,0,2626,0,25310,0,0,0,0,0,"01000","Alabama",226896.5,"4.23","hours","14.70","mph"," 4,817,678","13.12",36.6,62
1990,"AL","Electric Generators, Electric Utilities",76231696,53301276,10366507,420115,91916,0,0,12051882,0,0,0,0,0,0,"01000","Alabama",226896.5,"4.23","hours","14.70","mph"," 4,817,678","13.12",36.6,62
1990,"AL","Combined Heat and Power, Industrial Power",2726688,314241,0,567061,46173,0,1507544,0,22193,269476,0,0,0,0,"01000","Alabama",226896.5,"4.23","hours","14.70","mph"," 4,817,678","13.12",36.6,62
1990,"AL","Combined Heat and Power, Electric Power",665813,42598,0,33538,0,0,589677,0,0,0,0,0,0,0,"01000","Alabama",226896.5,"4.23","hours","14.70","mph"," 4,817,678","13.12",36.6,62
1990,"AR","Total Electric Power Industry",39099598,19207935,3654653,3578573,79979,0,1238044,11282053,15389,0,42972,0,0,0,"05000","Arkansas",130750.7,"4.69","hours","16.44","mph"," 2,947,036","12.99",34.8,62.4
